item_id,incident_id,incident_name,state,start_year,report_date,target_date,target_personnel,baseline_persistence,day_of_run,run_length
alloc-2015_2715639_WHITETAIL-2015-06-21,2015_2715639_WHITETAIL,Whitetail,AZ,2015,2015-06-21,2015-06-22,125.0,104.0,4,12
alloc-2015_2715639_WHITETAIL-2015-06-22,2015_2715639_WHITETAIL,Whitetail,AZ,2015,2015-06-22,2015-06-23,145.0,125.0,5,12
alloc-2015_2715639_WHITETAIL-2015-06-23,2015_2715639_WHITETAIL,Whitetail,AZ,2015,2015-06-23,2015-06-24,164.0,145.0,6,12
alloc-2015_2715639_WHITETAIL-2015-06-25,2015_2715639_WHITETAIL,Whitetail,AZ,2015,2015-06-25,2015-06-26,173.0,174.0,8,12
alloc-2015_2715639_WHITETAIL-2015-06-26,2015_2715639_WHITETAIL,Whitetail,AZ,2015,2015-06-26,2015-06-27,173.0,173.0,9,12
alloc-2015_2715639_WHITETAIL-2015-06-28,2015_2715639_WHITETAIL,Whitetail,AZ,2015,2015-06-28,2015-06-29,39.0,133.0,11,12
alloc-2015_2717709_SEVENTYMILE-2015-05-28,2015_2717709_SEVENTYMILE,Seventy Mile,AK,2015,2015-05-28,2015-05-29,28.0,28.0,4,18
alloc-2015_2717709_SEVENTYMILE-2015-05-30,2015_2717709_SEVENTYMILE,Seventy Mile,AK,2015,2015-05-30,2015-05-31,31.0,32.0,6,18
alloc-2015_2717709_SEVENTYMILE-2015-06-02,2015_2717709_SEVENTYMILE,Seventy Mile,AK,2015,2015-06-02,2015-06-03,24.0,26.0,9,18
alloc-2015_2717709_SEVENTYMILE-2015-06-04,2015_2717709_SEVENTYMILE,Seventy Mile,AK,2015,2015-06-04,2015-06-05,28.0,26.0,11,18
alloc-2015_2717709_SEVENTYMILE-2015-06-07,2015_2717709_SEVENTYMILE,Seventymile,AK,2015,2015-06-07,2015-06-08,28.0,26.0,14,18
alloc-2015_2717709_SEVENTYMILE-2015-06-10,2015_2717709_SEVENTYMILE,Seventymile,AK,2015,2015-06-10,2015-06-11,10.0,10.0,17,18
alloc-2015_2718664_ROCK-2015-07-15,2015_2718664_ROCK,Rock,AK,2015,2015-07-15,2015-07-16,45.0,45.0,4,11
alloc-2015_2718664_ROCK-2015-07-16,2015_2718664_ROCK,Rock,AK,2015,2015-07-16,2015-07-17,36.0,45.0,5,11
alloc-2015_2718664_ROCK-2015-07-17,2015_2718664_ROCK,Rock,AK,2015,2015-07-17,2015-07-18,36.0,36.0,6,11
alloc-2015_2718664_ROCK-2015-07-18,2015_2718664_ROCK,Rock,AK,2015,2015-07-18,2015-07-19,36.0,36.0,7,11
alloc-2015_2718664_ROCK-2015-07-19,2015_2718664_ROCK,Rock,AK,2015,2015-07-19,2015-07-20,36.0,36.0,8,11
alloc-2015_2718664_ROCK-2015-07-21,2015_2718664_ROCK,Rock,AK,2015,2015-07-21,2015-07-22,35.0,36.0,10,11
alloc-2015_2718664_ROCK-2015-07-27,2015_2718664_ROCK,Rock,AK,2015,2015-07-27,2015-07-28,47.0,47.0,4,21
alloc-2015_2718664_ROCK-2015-07-30,2015_2718664_ROCK,Rock,AK,2015,2015-07-30,2015-07-31,38.0,28.0,7,21
alloc-2015_2718664_ROCK-2015-08-02,2015_2718664_ROCK,Rock,AK,2015,2015-08-02,2015-08-03,51.0,49.0,10,21
alloc-2015_2718664_ROCK-2015-08-05,2015_2718664_ROCK,Rock,AK,2015,2015-08-05,2015-08-06,63.0,63.0,13,21
alloc-2015_2718664_ROCK-2015-08-08,2015_2718664_ROCK,Rock,AK,2015,2015-08-08,2015-08-09,63.0,63.0,16,21
alloc-2015_2718664_ROCK-2015-08-12,2015_2718664_ROCK,Rock,AK,2015,2015-08-12,2015-08-13,6.0,22.0,20,21
alloc-2015_2721652_SUGAR LOAF 0268 RN-2015-07-01,2015_2721652_SUGAR LOAF 0268 RN,SUGAR LOAF 0268 RN,OR,2015,2015-07-01,2015-07-02,318.0,316.0,4,10
alloc-2015_2721652_SUGAR LOAF 0268 RN-2015-07-02,2015_2721652_SUGAR LOAF 0268 RN,SUGAR LOAF 0268 RN,OR,2015,2015-07-02,2015-07-03,226.0,318.0,5,10
alloc-2015_2721652_SUGAR LOAF 0268 RN-2015-07-03,2015_2721652_SUGAR LOAF 0268 RN,SUGAR LOAF 0268 RN,OR,2015,2015-07-03,2015-07-04,233.0,226.0,6,10
alloc-2015_2721652_SUGAR LOAF 0268 RN-2015-07-04,2015_2721652_SUGAR LOAF 0268 RN,SUGAR LOAF 0268 RN,OR,2015,2015-07-04,2015-07-05,145.0,233.0,7,10
alloc-2015_2721652_SUGAR LOAF 0268 RN-2015-07-05,2015_2721652_SUGAR LOAF 0268 RN,SUGAR LOAF 0268 RN,OR,2015,2015-07-05,2015-07-06,96.0,145.0,8,10
alloc-2015_2721652_SUGAR LOAF 0268 RN-2015-07-06,2015_2721652_SUGAR LOAF 0268 RN,SUGAR LOAF 0268 RN,OR,2015,2015-07-06,2015-07-07,72.0,96.0,9,10
alloc-2015_2731070_MUD LAKE COMPLEX-2015-05-21,2015_2731070_MUD LAKE COMPLEX,MUD LAKE COMPLEX,FL,2015,2015-05-21,2015-05-22,160.0,159.0,4,25
alloc-2015_2731070_MUD LAKE COMPLEX-2015-05-25,2015_2731070_MUD LAKE COMPLEX,MUD LAKE COMPLEX,FL,2015,2015-05-25,2015-05-26,137.0,140.0,8,25
alloc-2015_2731070_MUD LAKE COMPLEX-2015-05-29,2015_2731070_MUD LAKE COMPLEX,MUD LAKE COMPLEX,FL,2015,2015-05-29,2015-05-30,128.0,127.0,12,25
alloc-2015_2731070_MUD LAKE COMPLEX-2015-06-02,2015_2731070_MUD LAKE COMPLEX,MUD LAKE COMPLEX,FL,2015,2015-06-02,2015-06-03,75.0,78.0,16,25
alloc-2015_2731070_MUD LAKE COMPLEX-2015-06-06,2015_2731070_MUD LAKE COMPLEX,MUD LAKE COMPLEX,FL,2015,2015-06-06,2015-06-07,24.0,39.0,20,25
alloc-2015_2731070_MUD LAKE COMPLEX-2015-06-10,2015_2731070_MUD LAKE COMPLEX,MUD LAKE COMPLEX,FL,2015,2015-06-10,2015-06-11,21.0,22.0,24,25
alloc-2015_2732085_TANANA SLOUGH-2015-06-23,2015_2732085_TANANA SLOUGH,Tanana Slough,AK,2015,2015-06-23,2015-06-24,72.0,72.0,4,12
alloc-2015_2732085_TANANA SLOUGH-2015-06-24,2015_2732085_TANANA SLOUGH,Tanana Slough,AK,2015,2015-06-24,2015-06-25,58.0,72.0,5,12
alloc-2015_2732085_TANANA SLOUGH-2015-06-25,2015_2732085_TANANA SLOUGH,Tanana Slough,AK,2015,2015-06-25,2015-06-26,66.0,58.0,6,12
alloc-2015_2732085_TANANA SLOUGH-2015-06-27,2015_2732085_TANANA SLOUGH,Tanana Slough,AK,2015,2015-06-27,2015-06-28,64.0,66.0,8,12
alloc-2015_2732085_TANANA SLOUGH-2015-06-28,2015_2732085_TANANA SLOUGH,Tanana Slough,AK,2015,2015-06-28,2015-06-29,63.0,64.0,9,12
alloc-2015_2732085_TANANA SLOUGH-2015-06-30,2015_2732085_TANANA SLOUGH,Tanana Slough,AK,2015,2015-06-30,2015-07-01,46.0,63.0,11,12
alloc-2015_2737676_TERKAM COMM-2015-05-26,2015_2737676_TERKAM COMM,Terkam Comm,FL,2015,2015-05-26,2015-05-27,1.0,1.0,4,11
