item_id,format,difficulty_as_shipped,answer_position,pair_group,reference_answer
fire360-mcq-001,multiple_choice,easy,0,fire360-pair-001,"Helmet"
fire360-free-001,free_text,easy,,fire360-pair-001,"Helmet"
fire360-mcq-002,multiple_choice,easy,0,fire360-pair-002,"Axe"
fire360-free-002,free_text,easy,,fire360-pair-002,"Axe"
fire360-mcq-003,multiple_choice,easy,0,fire360-pair-003,"Red"
fire360-free-003,free_text,easy,,fire360-pair-003,"Hose"
fire360-mcq-004,multiple_choice,easy,0,fire360-pair-004,"Hose"
fire360-free-004,free_text,easy,,fire360-pair-004,"2"
fire360-mcq-005,multiple_choice,easy,0,fire360-pair-005,"2"
fire360-free-005,free_text,easy,,fire360-pair-005,"Mask"
fire360-mcq-006,multiple_choice,medium,1,fire360-pair-006,"Filter"
fire360-free-006,free_text,medium,,fire360-pair-006,"Filter"
fire360-mcq-007,multiple_choice,medium,0,fire360-pair-007,"Size-up"
fire360-free-007,free_text,medium,,fire360-pair-007,"Size-up"
fire360-mcq-008,multiple_choice,medium,0,fire360-pair-008,"Leather"
fire360-free-008,free_text,medium,,fire360-pair-008,"Leather"
fire360-mcq-009,multiple_choice,medium,2,fire360-pair-009,"15 feet"
fire360-free-009,free_text,medium,,fire360-pair-009,"15 feet"
fire360-mcq-010,multiple_choice,medium,1,fire360-pair-010,"Three long blasts"
fire360-free-010,free_text,medium,,fire360-pair-010,"Three long blasts"
fire360-mcq-011,multiple_choice,medium,0,fire360-pair-011,"Fan"
fire360-free-011,free_text,medium,,fire360-pair-011,"Fan"
fire360-mcq-012,multiple_choice,medium,1,fire360-pair-012,"Rescue"
fire360-free-012,free_text,medium,,fire360-pair-012,"Rescue"
fire360-mcq-013,multiple_choice,hard,1,fire360-pair-013,"100-150"
fire360-free-013,free_text,hard,,fire360-pair-013,"100-150"
fire360-mcq-014,multiple_choice,hard,0,fire360-pair-014,"Clove Hitch"
fire360-free-014,free_text,hard,,fire360-pair-014,"Clove Hitch"
fire360-mcq-015,multiple_choice,hard,1,fire360-pair-015,"30"
fire360-free-015,free_text,hard,,fire360-pair-015,"30"
fire360-mcq-016,multiple_choice,hard,1,fire360-pair-016,"Vertical"
fire360-free-016,free_text,hard,,fire360-pair-016,"Vertical"
fire360-mcq-017,multiple_choice,hard,2,fire360-pair-017,"75"
fire360-free-017,free_text,hard,,fire360-pair-017,"75"
fire360-mcq-018,multiple_choice,hard,1,fire360-pair-018,"Size-up"
fire360-free-018,free_text,hard,,fire360-pair-018,"Size-up"
fire360-mcq-019,multiple_choice,very hard,2,fire360-pair-019,"150"
fire360-free-019,free_text,very hard,,fire360-pair-019,"150"
fire360-mcq-020,multiple_choice,very hard,1,fire360-pair-020,"Gas Detector"
fire360-free-020,free_text,very hard,,fire360-pair-020,"Gas Detector"
fire360-mcq-021,multiple_choice,very hard,0,fire360-pair-021,"Immediate evacuation"
fire360-free-021,free_text,very hard,,fire360-pair-021,"Immediate evacuation"
fire360-mcq-022,multiple_choice,very hard,0,fire360-pair-022,"Nomex"
fire360-free-022,free_text,very hard,,fire360-pair-022,"Nomex"
fire360-mcq-023,multiple_choice,very hard,2,fire360-pair-023,"150-200"
fire360-free-023,free_text,very hard,,fire360-pair-023,"150-200"
fire360-mcq-024,multiple_choice,very hard,1,fire360-pair-024,"Indirect Attack"
fire360-free-024,free_text,very hard,,fire360-pair-024,"Indirect Attack"
fire360-mcq-025,multiple_choice,very hard,2,fire360-pair-025,"30"
fire360-free-025,free_text,very hard,,fire360-pair-025,"30"
fire360-mcq-026,multiple_choice,very hard,0,fire360-pair-026,"Overhaul"
fire360-free-026,free_text,very hard,,fire360-pair-026,"Overhaul"
fire360-mcq-027,multiple_choice,very hard,1,fire360-pair-027,"50"
fire360-free-027,free_text,very hard,,fire360-pair-027,"50"
fire360-mcq-028,multiple_choice,very hard,1,fire360-pair-028,"Sledgehammer"
fire360-free-028,free_text,very hard,,fire360-pair-028,"Sledgehammer"
fire360-mcq-029,multiple_choice,very hard,0,fire360-pair-029,"Activate PASS device"
fire360-free-029,free_text,very hard,,fire360-pair-029,"Activate PASS device"
fire360-mcq-030,multiple_choice,very hard,0,fire360-pair-030,"Oxygen"
fire360-free-030,free_text,very hard,,fire360-pair-030,"Oxygen"
fire360-mcq-031,multiple_choice,very hard,1,fire360-pair-031,"2"
fire360-free-031,free_text,very hard,,fire360-pair-031,"2"
fire360-mcq-032,multiple_choice,very hard,0,fire360-pair-032,"Pike Pole"
fire360-free-032,free_text,very hard,,fire360-pair-032,"Pike Pole"
