item_id,label,answer,target_date,window_start,window_end,longitude,latitude,burned_area_ha,source_file,source_sample,fold
mesogeos-neg-14591-2021-01-02,0,no,2021-01-02,2020-12-03,2021-01-01,29.9394,36.5126,,negatives.csv,14591,7
mesogeos-neg-14592-2021-01-03,0,no,2021-01-03,2020-12-04,2021-01-02,9.2074,40.6812,,negatives.csv,14592,5
mesogeos-neg-14593-2021-01-03,0,no,2021-01-03,2020-12-04,2021-01-02,26.5462,38.2243,,negatives.csv,14593,4
mesogeos-neg-14594-2021-01-04,0,no,2021-01-04,2020-12-05,2021-01-03,-6.54047,41.5068,,negatives.csv,14594,9
mesogeos-neg-14595-2021-01-04,0,no,2021-01-04,2020-12-05,2021-01-03,-1.90875,40.5301,,negatives.csv,14595,9
mesogeos-neg-14596-2021-01-05,0,no,2021-01-05,2020-12-06,2021-01-04,-7.49703,37.3181,,negatives.csv,14596,0
mesogeos-neg-14597-2021-01-06,0,no,2021-01-06,2020-12-07,2021-01-05,28.4089,39.4125,,negatives.csv,14597,8
mesogeos-neg-14598-2021-01-07,0,no,2021-01-07,2020-12-08,2021-01-06,15.3193,40.9832,,negatives.csv,14598,9
mesogeos-neg-14599-2021-01-07,0,no,2021-01-07,2020-12-08,2021-01-06,3.20629,34.9016,,negatives.csv,14599,2
mesogeos-neg-14600-2021-01-08,0,no,2021-01-08,2020-12-09,2021-01-07,35.7391,32.334,,negatives.csv,14600,1
mesogeos-neg-14601-2021-01-09,0,no,2021-01-09,2020-12-10,2021-01-08,-2.07992,34.9318,,negatives.csv,14601,0
mesogeos-neg-14602-2021-01-10,0,no,2021-01-10,2020-12-11,2021-01-09,1.95774,41.7283,,negatives.csv,14602,9
mesogeos-neg-14603-2021-01-11,0,no,2021-01-11,2020-12-12,2021-01-10,-1.17371,39.9059,,negatives.csv,14603,2
mesogeos-neg-14604-2021-01-12,0,no,2021-01-12,2020-12-13,2021-01-11,31.7518,36.7241,,negatives.csv,14604,3
mesogeos-neg-14605-2021-01-13,0,no,2021-01-13,2020-12-14,2021-01-12,-5.24158,42.121,,negatives.csv,14605,8
mesogeos-neg-14606-2021-01-14,0,no,2021-01-14,2020-12-15,2021-01-13,8.80464,39.4628,,negatives.csv,14606,9
mesogeos-neg-14607-2021-01-14,0,no,2021-01-14,2020-12-15,2021-01-13,-7.5071,31.458,,negatives.csv,14607,5
mesogeos-neg-14608-2021-01-15,0,no,2021-01-15,2020-12-16,2021-01-14,1.65567,36.1904,,negatives.csv,14608,9
mesogeos-neg-14609-2021-01-16,0,no,2021-01-16,2020-12-17,2021-01-15,13.6881,41.386,,negatives.csv,14609,8
mesogeos-neg-14610-2021-01-17,0,no,2021-01-17,2020-12-18,2021-01-16,-1.26433,39.2916,,negatives.csv,14610,3
mesogeos-neg-14611-2021-01-18,0,no,2021-01-18,2020-12-19,2021-01-17,-7.07413,37.7914,,negatives.csv,14611,1
mesogeos-neg-14612-2021-01-18,0,no,2021-01-18,2020-12-19,2021-01-17,22.6797,40.802,,negatives.csv,14612,8
mesogeos-pos-00621-2021-01-19,1,yes,2021-01-19,2020-12-20,2021-01-18,-8.1213,41.0336,187.0,positives.csv,621,5
mesogeos-neg-14613-2021-01-19,0,no,2021-01-19,2020-12-20,2021-01-18,12.0871,43.9334,,negatives.csv,14613,4
mesogeos-neg-14614-2021-01-20,0,no,2021-01-20,2020-12-21,2021-01-19,5.2805,44.1449,,negatives.csv,14614,0
mesogeos-neg-14615-2021-01-21,0,no,2021-01-21,2020-12-22,2021-01-20,3.00491,43.1481,,negatives.csv,14615,3
mesogeos-pos-00622-2021-01-22,1,yes,2021-01-22,2020-12-23,2021-01-21,-2.90558,36.8952,715.0,positives.csv,622,6
mesogeos-neg-14616-2021-01-22,0,no,2021-01-22,2020-12-23,2021-01-21,13.0034,43.1682,,negatives.csv,14616,7
mesogeos-neg-14617-2021-01-23,0,no,2021-01-23,2020-12-24,2021-01-22,-3.46944,42.5741,,negatives.csv,14617,0
mesogeos-neg-14618-2021-01-24,0,no,2021-01-24,2020-12-25,2021-01-23,-5.6544,36.7744,,negatives.csv,14618,1
mesogeos-neg-14619-2021-01-25,0,no,2021-01-25,2020-12-26,2021-01-24,-4.60723,33.3812,,negatives.csv,14619,9
mesogeos-neg-14620-2021-01-26,0,no,2021-01-26,2020-12-27,2021-01-25,27.6739,37.9223,,negatives.csv,14620,7
mesogeos-neg-14621-2021-01-27,0,no,2021-01-27,2020-12-28,2021-01-26,-2.58337,41.3759,,negatives.csv,14621,8
mesogeos-neg-14622-2021-01-28,0,no,2021-01-28,2020-12-29,2021-01-27,22.5689,41.6679,,negatives.csv,14622,4
mesogeos-neg-14623-2021-01-29,0,no,2021-01-29,2020-12-30,2021-01-28,-8.40323,39.0198,,negatives.csv,14623,7
mesogeos-neg-14624-2021-01-30,0,no,2021-01-30,2020-12-31,2021-01-29,35.6787,37.3987,,negatives.csv,14624,2
mesogeos-neg-14625-2021-01-31,0,no,2021-01-31,2021-01-01,2021-01-30,-9.53096,30.9747,,negatives.csv,14625,5
mesogeos-pos-04922-2021-02-01,1,yes,2021-02-01,2021-01-02,2021-01-31,-2.43233,37.1772,955.0,positives.csv,4922,7
mesogeos-neg-14626-2021-02-01,0,no,2021-02-01,2021-01-02,2021-01-31,29.9495,37.1268,,negatives.csv,14626,7
mesogeos-neg-14627-2021-02-02,0,no,2021-02-02,2021-01-03,2021-02-01,29.9193,38.3854,,negatives.csv,14627,1
mesogeos-neg-14628-2021-02-03,0,no,2021-02-03,2021-01-04,2021-02-02,32.9802,36.2307,,negatives.csv,14628,7
mesogeos-neg-14629-2021-02-03,0,no,2021-02-03,2021-01-04,2021-02-02,7.15333,36.6032,,negatives.csv,14629,8
mesogeos-neg-14630-2021-02-04,0,no,2021-02-04,2021-01-05,2021-02-03,-6.19813,40.3791,,negatives.csv,14630,6
mesogeos-neg-14631-2021-02-04,0,no,2021-02-04,2021-01-05,2021-02-03,-8.02061,39.8756,,negatives.csv,14631,5
mesogeos-pos-03889-2021-02-05,1,yes,2021-02-05,2021-01-06,2021-02-04,4.76698,43.5307,31.0,positives.csv,3889,0
mesogeos-pos-08346-2021-02-05,1,yes,2021-02-05,2021-01-06,2021-02-04,1.92753,36.4522,61.0,positives.csv,8346,4
mesogeos-neg-14632-2021-02-05,0,no,2021-02-05,2021-01-06,2021-02-04,8.19043,44.155,,negatives.csv,14632,3
mesogeos-neg-14633-2021-02-06,0,no,2021-02-06,2021-01-07,2021-02-05,-3.92254,39.4628,,negatives.csv,14633,0
mesogeos-neg-14634-2021-02-07,0,no,2021-02-07,2021-01-08,2021-02-06,-6.5002,37.9223,,negatives.csv,14634,9
mesogeos-neg-14635-2021-02-07,0,no,2021-02-07,2021-01-08,2021-02-06,25.4889,41.1745,,negatives.csv,14635,7
mesogeos-neg-14636-2021-02-08,0,no,2021-02-08,2021-01-09,2021-02-07,17.1619,43.3696,,negatives.csv,14636,0
mesogeos-neg-14637-2021-02-08,0,no,2021-02-08,2021-01-09,2021-02-07,28.711,40.0368,,negatives.csv,14637,2
mesogeos-neg-14638-2021-02-09,0,no,2021-02-09,2021-01-10,2021-02-08,33.9267,36.422,,negatives.csv,14638,0
mesogeos-neg-14639-2021-02-10,0,no,2021-02-10,2021-01-11,2021-02-09,25.2875,35.2943,,negatives.csv,14639,7
mesogeos-neg-14640-2021-02-11,0,no,2021-02-11,2021-01-12,2021-02-10,-6.70158,38.8486,,negatives.csv,14640,2
mesogeos-neg-14641-2021-02-12,0,no,2021-02-12,2021-01-13,2021-02-11,9.81154,36.7845,,negatives.csv,14641,6
mesogeos-neg-14642-2021-02-13,0,no,2021-02-13,2021-01-14,2021-02-12,13.7988,41.3256,,negatives.csv,14642,8
mesogeos-neg-14643-2021-02-14,0,no,2021-02-14,2021-01-15,2021-02-13,-5.50337,36.4824,,negatives.csv,14643,0
mesogeos-neg-14644-2021-02-14,0,no,2021-02-14,2021-01-15,2021-02-13,22.3877,32.7871,,negatives.csv,14644,3
mesogeos-neg-14645-2021-02-15,0,no,2021-02-15,2021-01-16,2021-02-14,-1.97923,33.0388,,negatives.csv,14645,7
mesogeos-neg-14646-2021-02-16,0,no,2021-02-16,2021-01-17,2021-02-15,-0.257436,34.8009,,negatives.csv,14646,2
